name	x	y	z	size
RTP1	29.7149610881503	-2.48316548762246	-38.6803881138393	5
RTP2	34.7702293678443	-4.25354786437418	-37.2867946227372	5
RTP3	40.0590439344965	-4.74874336266462	-36.7953504625515	5
RTP4	45.8823572751258	-4.44943560192938	-35.5116435172332	5
RTP5	51.1910972918604	-3.83281240741357	-33.1063052328025	5
RTP6	56.0848835895103	-4.14554281598525	-33.0887994227526	5
RHH1	29.2720012377727	-13.4598191896008	-14.175084212807	5
RHH2	34.2764265871274	-13.394361269032	-15.5543383999173	5
RHH3	38.6040439630687	-14.5062489259419	-17.2824084299536	5
RHH4	44.5349750772447	-15.5793584547686	-17.3248346154944	5
RHH5	51.1069616245524	-16.0030175420815	-17.3827087243514	5
RHH6	57.5146678602672	-17.1149566719299	-17.9158610980733	5
RHH7	62.9238858924376	-18.7364133773015	-18.3025221337656	5
RHH8	67.1333180773123	-21.4967076079699	-18.8372289201732	5
RHB1	29.443870359898	-21.6588067638486	-13.1631140160939	5
RHB2	34.6809077983592	-21.6427497834261	-12.8110831332454	5
RHB3	39.7215302902262	-22.4635556022791	-14.0269061303061	5
RHB4	46.0743539311097	-23.073747541628	-14.5361092122461	5
RHB5	52.7402773672372	-23.9514590930345	-13.7361482909549	5
RHB6	59.3536247163924	-26.1750889578504	-14.3987257290789	5
RHB7	64.6049873821953	-27.9828132695529	-15.6115075365467	5
RHB8	68.7956860517952	-29.3412990937486	-15.7901119521322	5
RHT1	29.5841833401365	-35.6833158969009	-14.0131137613809	5
RHT2	35.4974009101805	-36.2165094024978	-13.1510480943521	5
RHT3	39.5154660963376	-36.2893777175462	-11.9924809391484	5
RHT4	44.5295883119141	-36.2974877986544	-12.2623036112094	5
RHT5	50.0838645161419	-38.7764693857902	-14.6250655184812	5
RHT6	56.2464270748678	-40.9351869492919	-14.4768739128737	5
RHT7	61.9910737555359	-41.8654323853564	-13.8421587271653	5
RHT8	66.4335016970818	-42.2848058097534	-14.4218710956876	5
LTP1	-24.1633784553372	-7.46240137203156	-18.8649472917829	5
LTP2	-29.5284444036528	-6.40729994433789	-19.8529247866922	5
LTP3	-34.7988075857795	-4.95673536815222	-20.64853155787	5
LTP4	-41.4859120271828	-3.17851667536751	-21.671218911847	5
LTP5	-48.0785729870486	-2.1324587973266	-22.9969333168466	5
LTP6	-55.0940700954861	-0.325597247088398	-22.3590759695548	5
LAMY1	-19.4233620100456	-5.75998616461106	-21.1843775768938	5
LAMY2	-24.7500154514137	-5.28954354954107	-19.9050330755535	5
LAMY3	-29.7359089984985	-3.51177347814079	-19.0530249638514	5
LAMY4	-35.4326194399012	-1.48213943432961	-17.8788877639637	5
LAMY5	-40.5262306806013	1.05927089792282	-16.8549097289567	5
LAMY6	-44.3992036248	3.35427698067941	-15.553924222495	5
LAMY7	-49.6009498279897	4.87567213277145	-14.2298119493121	5
LAMY8	-56.6719076369697	4.91969326212474	-12.9353737333244	5
LHH1	-22.7808674013768	-14.261917209063	-16.5771559595179	5
LHH2	-28.5657961652556	-13.5516405985249	-15.0517737555469	5
LHH3	-34.0686866419089	-12.3549242404754	-16.6413802358542	5
LHH4	-39.2166514016303	-12.1056683989845	-15.2235024377615	5
LHH5	-44.5901491540735	-11.6490588902772	-13.4909822592296	5
LHH6	-50.3690322696873	-12.5908851713843	-12.5960659012094	5
LHH7	-57.4301404350957	-11.10091785718	-11.0345952489579	5
LHH8	-63.6574016397466	-11.1354834242725	-9.12890375853846	5
LHB1	-22.5950862917776	-28.6553013568166	-15.4137455438108	5
LHB2	-29.2137811907674	-29.5681275790008	-14.1547282582893	5
LHB3	-34.8577755110014	-29.1317773976757	-12.1551485032476	5
LHB4	-38.2239002001549	-28.9474367873612	-12.4453765027434	5
LHB5	-44.1692060327458	-29.1183874175173	-13.7728266699936	5
LHB6	-51.7232852651716	-28.5956069403797	-12.7025104379934	5
LHB7	-58.5740819773698	-27.9876295540292	-11.1088905134403	5
LHB8	-64.402862291401	-28.6316545113054	-11.2944535434345	5
LHT1	-19.8915854792673	-37.691253413586	-9.56875809739225	5
LHT2	-26.0550406294373	-38.3389684070944	-6.8850139779084	5
LHT3	-30.9408312677668	-40.4081518510577	-3.99484214944487	5
LHT4	-33.6490799117303	-41.2633232335435	-3.34795719649402	5
LHT5	-38.93655360581	-40.0832678256273	-5.15186708769177	5
LHT6	-48.5792920484793	-39.2348814762129	-5.84781143057292	5
LHT7	-55.5673853492697	-38.9888251735752	-4.36395115850939	5
LHT8	-62.0176675809484	-39.7306275389794	-3.19027467065928	5
